IDM accuracy,IDM loss,RND loss,actor_episodes,actor_steps,extrinsic UVFA loss,intrinsic UVFA loss,learner_steps,learner_time_elapsed
0.79062504,0.6725001,0.00017272371,84032,15769566,8.260996e-05,15.4872055,11123,5887.156560182571
0.709375,0.8853062,0.00015521137,84032,15769566,9.0042544e-05,13.126743,11124,5887.616238355637
0.734375,0.83042806,0.00017084478,84033,15769624,6.5168686e-05,16.298153,11125,5888.255964517593
0.77500004,0.8125939,0.0001839989,84033,15769624,9.157977e-05,16.212833,11126,5888.791310787201
0.71875,0.89557743,0.0001857881,84036,15770350,9.679368e-05,14.692171,11127,5889.178462505341
0.74375004,0.8558961,0.00018803382,84044,15771564,8.279226e-05,13.456932,11128,5890.417729139328
0.69687504,0.9809514,0.00016713097,84056,15775776,8.318457e-05,12.843283,11129,5890.754134654999
0.79375,0.63714564,0.00017891354,84056,15775776,5.897731e-05,10.673355,11133,5892.139237880707
0.721875,0.86472005,0.0001474426,84068,15785869,0.00016666907,26.791073,11134,5892.357348680496
0.659375,1.0779184,0.00015742693,84068,15785869,7.8513236e-05,11.16362,11135,5893.011300563812
0.72812504,0.8982339,0.00017770972,84069,15785982,0.0001186157,16.584044,11136,5893.443243741989
0.69687504,0.9225349,0.00016270399,84072,15789698,0.00012211157,21.16406,11137,5894.444687604904
0.765625,0.7024465,0.0001556464,84072,15789698,7.234543e-05,14.025877,11138,5895.521152496338
0.74375004,0.8412466,0.0001563826,84072,15789698,0.00011891912,22.447466,11139,5896.162251234055
0.66562504,0.9618668,0.00018412375,84074,15790858,8.822907e-05,30.722994,11140,5896.503967761993
0.721875,0.9023806,0.00015173251,84074,15790858,8.375168e-05,14.910505,11141,5896.6515855789185
0.71875,0.9733257,0.00015075873,84075,15790953,0.00018605155,39.871246,11142,5896.7889013290405
0.72812504,0.86287194,0.00014153185,84076,15791534,0.00011271141,14.7316265,11143,5897.145617723465
0.725,0.8456394,0.00014883441,84080,15791916,7.4969605e-05,12.990923,11144,5897.751407623291
0.703125,0.9353024,0.00014782119,84081,15792074,6.640293e-05,15.843714,11145,5898.106902122498
0.76875,0.66342777,0.00016274737,84085,15794032,0.00024527952,17.477148,11146,5898.528310060501
0.684375,0.98579377,0.00015502925,84086,15795442,0.00014830146,22.054459,11147,5898.935448169708
0.66562504,1.0366893,0.00014943093,84086,15795442,0.0001361649,23.895645,11148,5899.461376667023
0.79062504,0.72613317,0.00015092174,84097,15804101,9.2517614e-05,12.807489,11149,5899.794322252274
