IDM accuracy,IDM loss,RND loss,actor_episodes,actor_steps,evaluator_episodes,evaluator_steps,extrinsic UVFA loss,intrinsic UVFA loss,learner_steps,learner_time_elapsed
0.52500004,1.183003,0.0002989683,174508,74668125,1678,1212096,0.0043473626,23.947308,55681,27430.847806215286
0.621875,1.0049647,0.00021744185,174510,74669071,1678,1212096,0.007358419,26.484339,55682,27430.983010053635
0.646875,1.0560337,0.00018889034,174510,74669071,1678,1212096,0.0067939684,48.231956,55683,27431.351888418198
0.6375,0.9845827,0.0002217642,174512,74671084,1678,1212096,0.004871002,27.618347,55684,27431.49084830284
0.60625,1.0455874,0.00024300301,174512,74671084,1678,1212096,0.0049582766,26.33995,55685,27431.789459228516
0.625,1.0734009,0.00016726111,174513,74672050,1678,1212096,0.004988081,15.762714,55686,27432.18302679062
0.63125,0.9988015,0.00019170516,174517,74680302,1678,1212096,0.0079242755,33.465446,55687,27432.644813776016
0.653125,0.8647408,0.00016019748,174517,74680302,1678,1212096,0.005345703,29.717464,55688,27433.11820793152
0.61875004,0.96517366,0.00029638587,174517,74680302,1678,1212096,0.005207466,24.286364,55689,27433.531814813614
0.621875,1.0682905,0.00019500578,174517,74680302,1678,1212096,0.0036834124,19.569027,55690,27433.746448516846
0.66562504,1.033281,0.00024502573,174518,74680503,1678,1212096,0.0058420254,37.04088,55691,27434.017867803574
0.703125,0.8984248,0.00021593124,174521,74683472,1678,1212096,0.0051424345,12.396467,55693,27435.015025615692
0.51875,1.1853447,0.00027330706,174521,74683472,1678,1212096,0.009640466,64.29433,55694,27436.49272441864
0.63437504,0.97061425,0.00017189478,174523,74683968,1678,1212096,0.005472405,33.252777,55695,27437.364768743515
0.58750004,1.087563,0.00020187949,174523,74683968,1678,1212096,0.008153288,20.858952,55696,27438.14724087715
0.60312504,1.0743904,0.00024111642,174525,74690962,1678,1212096,0.0054181097,23.15038,55697,27438.437153100967
0.6875,0.9191944,0.00021428606,174530,74692166,1678,1212096,0.0052328324,89.0629,55698,27438.890907764435
0.58125,1.0335761,0.00019446037,174530,74692166,1678,1212096,0.0060250973,34.900566,55700,27439.960059404373
0.54062504,1.1340373,0.00021441518,174534,74693035,1678,1212096,0.0062262136,58.245903,55701,27440.531538963318
0.64375,1.048403,0.0001866221,174534,74693035,1678,1212096,0.0080599375,33.40458,55702,27440.832381486893
0.56875,1.0228846,0.00020395339,174534,74693035,1678,1212096,0.0043102857,20.705524,55703,27441.254605531693
0.56875,1.0798134,0.0001734139,174536,74704244,1678,1212096,0.007756059,30.55803,55704,27441.948092460632
0.59375,1.0771408,0.00015847696,174540,74711879,1678,1212096,0.008180214,13.833786,55706,27443.374501228333
0.55625004,1.2065152,0.00017164022,174541,74712443,1678,1212096,0.007476135,23.401417,55707,27445.619248867035
0.625,0.98819417,0.00019985763,174543,74716376,1678,1212096,0.0049432283,45.383446,55709,27446.796165943146
