Mean Distillation Alpha,action_mean_time,actor_episodes,actor_steps,env_step_mean_time,episode_length,episode_return,evaluator_episodes,evaluator_steps,intrinsic_rewards_mean,intrinsic_rewards_sum,is_eval,learner_steps,learner_time_elapsed,mixture_idx,observe_mean_time,steps_per_second
1.4288588518349725,0.03877629543067702,152122,59402343,0.4953064427367041,562,0.0,1519,961507,22.523675256522893,12680.829169422388,0,44072,22079.6958360672,28,0.01831270554442027,1.8012306952182533
1.3014917844420026,0.03912569238847102,152136,59414119,0.5157763753881586,157,0.0,1520,961664,25.518659215939195,4031.948156118393,0,44081,22083.06642150879,29,0.024872739120802893,1.7017639520216934
1.3464796218742319,0.03611529604429862,152171,59434681,0.5138061648027286,294,0.0,1521,961958,24.556272713410653,7244.100450456142,0,44096,22089.06186580658,30,0.01771806630289711,1.7498094671808704
1.3735820671353178,0.04412356194095839,152205,59444200,0.5016075895573944,323,0.0,1522,962281,23.66094914952546,7666.147524446249,0,44112,22096.368111610413,31,0.019563034424321668,1.759316044051145
1.0881923271522362,0.04071851829540571,152304,59493069,0.5072913529263433,1195,400.0,1523,963476,12.31268519098344,14725.971488416195,0,44166,22119.570139169693,0,0.020492214993514057,1.729337959613345
1.2849305378494216,0.04009247978099243,152562,59676646,0.49305648044153394,3311,400.0,1524,966787,19.471074721960413,64488.19947913289,0,44317,22191.120748758316,1,0.020306494378390504,1.7972266635573169
1.3838036815644403,0.04080077197762241,152692,59798340,0.5051993453148123,1744,400.0,1525,968531,20.424505434541786,35640.76198327541,0,44400,22228.074928045273,2,0.019757654661789442,1.7608803921740865
1.1733999516645368,0.04347541740092961,152741,59831752,0.5048007946329168,681,400.0,1526,969212,15.667217049693082,10685.042027890682,0,44430,22240.661999464035,3,0.01839828690296523,1.7498350733005374
1.5576432578208792,0.04343546420220771,152814,59905499,0.5144473636088387,1048,400.0,1527,970260,28.602040608089464,30003.540597885847,0,44485,22264.750057697296,4,0.023119937842467977,1.7116490643415687
2.3177956991929274,0.04012004656298534,152836,59913201,0.4524324811722349,325,400.0,1528,970585,36.80224865272733,11997.533060789108,0,44494,22267.62327528,5,0.021335515513648994,1.924911586444686
1.0128541522881322,0.03984517483312064,152860,59950836,0.45152770313018126,407,400.0,1529,970992,18.237265262241458,7440.8042269945145,0,44518,22279.488758802414,6,0.02146761013276152,1.9261461273498022
1.0235545252996778,0.03943732294280799,152899,59988028,0.477915985984111,630,400.0,1530,971622,17.0352152788129,10749.220840930939,0,44543,22293.6959939003,7,0.022769019072958533,1.8358699116005743
1.0703910644385417,0.03775680536606339,152930,60014493,0.4920290647885564,497,400.0,1531,972119,20.870012936821905,10393.266442537308,0,44569,22309.312235355377,8,0.020612049003991217,1.790421017733325
1.2945836426417032,0.040348067809765104,153359,60376437,0.4765461402267802,6750,400.0,1532,978869,4.217549280323217,28472.67519146204,0,44867,22453.686849594116,9,0.020368311871198884,1.8548899549797084
1.0014713600780187,0.04063858495064778,153381,60406540,0.508579100934714,445,0.0,1533,979314,16.320439190741613,7278.915879070759,0,44891,22464.804819107056,10,0.020307560096425526,1.737242069587453
1.0128774998605055,0.038819708398861424,153453,60479169,0.5052085501326987,1515,0.0,1534,980829,14.1708059130841,21482.941764235497,0,44963,22497.5450899601,18,0.017977960615787884,1.7709429305132853
1.0208851344445173,0.04023712739293937,153616,60679632,0.48751358802123396,3196,400.0,1535,984025,4.742667788382728,15162.308919459581,0,45111,22566.576548337936,0,0.02147134841241664,1.8131104540926566
2.564417911386027,0.03794895783516729,153634,60710673,0.49050190825719875,206,400.0,1536,984231,41.887083223044584,8670.626227170229,0,45122,22572.31446003914,1,0.024136924679729877,1.7107165623779128
1.1277318261563778,0.037183966393058654,153646,60718162,0.4683140629242319,224,400.0,1537,984455,22.872012857860987,5146.2028930187225,0,45131,22576.603167057037,2,0.01781703431687934,1.862020875075124
1.0996784225003473,0.04066620636114184,153690,60787322,0.5183611501350894,725,400.0,1538,985180,17.338829850280252,12587.990471303463,0,45169,22592.50816822052,3,0.019289328455222483,1.7169268938550981
1.1289153880760319,0.03964730603389093,153776,60885778,0.5038981036433046,1769,400.0,1539,986949,16.460896680449363,29135.78712439537,0,45248,22628.576286792755,4,0.020057977152672567,1.7682027783576344
1.3794050252567416,0.041212822124961405,153999,61121612,0.5035086660006448,3122,400.0,1540,990071,18.138253967864294,56645.767141640186,0,45397,22707.73814725876,5,0.019942188271337334,1.7656276253481356
1.4506711674443746,0.04319451566527154,154047,61158866,0.4958562894195384,472,400.0,1541,990543,21.420042557141745,10131.680129528046,0,45422,22719.14817214012,6,0.017440980245783836,1.778468612496537
1.0107539697243126,0.03823704935383472,154074,61185694,0.4492922058656814,373,400.0,1542,990916,18.888512667009536,7064.303737461567,0,45438,22726.27304315567,7,0.02441821690062738,1.9311257137041262
1.0183171867574536,0.0372422475144289,154122,61221355,0.457151531207477,795,400.0,1543,991711,18.30525881639827,14570.986017853022,0,45471,22742.047226905823,8,0.018915588608847744,1.9380373142568783
1.1025104817264666,0.03942803715612187,154261,61343861,0.49930417860986587,1979,400.0,1544,993690,11.722695898768878,23210.937879562378,0,45564,22786.819633483887,9,0.019398112756576706,1.7852339534849324
1.1939916147040417,0.0399647367688283,154645,61643069,0.4781513516214218,4638,400.0,1545,998328,13.693950399464127,63526.23590311408,0,45771,22877.42008447647,0,0.0207011868292329,1.848202812087005
1.2927805350747401,0.03882897806606956,155101,61911146,0.48126406929381715,5001,400.0,1546,1003329,16.056881245989793,80316.51999244094,0,45993,22984.9801633358,1,0.019395518928049544,1.8481720249529596
1.5727706370775167,0.043634908090113944,155153,61950615,0.4560906310571242,577,400.0,1547,1003906,29.342129148413978,16959.75064778328,0,46020,22997.988324403763,2,0.021660858001609405,1.8888015838641692
1.5335781260381771,0.037651348718894424,155181,61963195,0.4649249933393307,395,400.0,1548,1004301,30.017284511240444,11886.844666451216,0,46036,23003.238449573517,3,0.02035013135694648,1.8967384932047966
1.226694485106444,0.041446822559536196,155259,62011050,0.5198157273832945,788,400.0,1549,1005089,22.060933715981374,17406.076701909304,0,46074,23022.22089767456,4,0.02288169587826893,1.692373274373892
1.575852103872672,0.039951774260305925,155415,62127953,0.5033474107297068,1790,400.0,1550,1006879,20.169050881910564,36122.77012950182,0,46159,23063.377713918686,5,0.02021796219328915,1.7664440823186673
1.1279490271133528,0.04052398206075664,155777,62356133,0.5016892253396145,3786,400.0,1551,1010665,14.6337022564957,55417.83044534922,0,46333,23140.64854502678,6,0.019682546168737575,1.77377394146419
1.4217228572029,0.037507032004987555,155921,62443799,0.5000070402705609,1397,400.0,1552,1012062,24.29489038343167,33964.256756037474,0,46399,23171.736074447632,7,0.01925631510530574,1.787289839985598
1.2226172224546452,0.04183737992621624,156058,62527901,0.5121595331125953,1422,400.0,1553,1013484,18.444929652832297,26247.134895980358,0,46468,23203.369307518005,8,0.02040611174819117,1.7300925045895748
1.0347467393133605,0.03916996909711147,156105,62552468,0.4910398631404398,463,100.0,1554,1013947,12.198468407230644,5660.089340955019,0,46487,23214.00511288643,9,0.018485921976009064,1.798562222342847
1.176972590243425,0.040836475265117696,156180,62590700,0.5071079143453807,883,400.0,1555,1014830,8.748341837046643,7733.534183949232,0,46529,23233.242921113968,0,0.018676509104217143,1.7480340620400185
1.1846163864005101,0.04014907639118479,156637,62926911,0.5000025300262145,5110,400.0,1556,1019940,13.209194791600373,67512.19457986951,0,46766,23343.33769607544,1,0.02046982664879755,1.7765731538623917
1.3495141193341171,0.03874627963869855,156882,63118145,0.5066685073406012,3171,400.0,1557,1023111,20.319550572679592,64453.61441653967,0,46914,23413.289296388626,2,0.018508099091812044,1.7656780489624275
1.428595999896829,0.04036073043907291,157032,63235694,0.49258736753104987,1970,400.0,1558,1025081,27.101526910220834,53417.10954004526,0,47006,23459.13662958145,3,0.019449896485645792,1.7997473985295802
1.3376450990411368,0.04187304811262452,157171,63315492,0.49307108390341287,1760,400.0,1559,1026841,21.38656327285799,37661.73792350292,0,47088,23498.429172039032,4,0.018825111524124208,1.799134043245902
1.229557634521054,0.041686705216275655,157197,63334033,0.49450526259833877,319,400.0,1560,1027160,21.634878873825073,6923.161239624023,0,47100,23502.969692230225,5,0.019951854865360483,1.757004379198726
